# region irank jrank data_tot data_tx data_rx nmsg_tx nmsg_rx
ipm_global 20 4 100627360 50313680 50313680 626 626
ipm_global 20 12 667383444 633382948 34000496 34972 2005
ipm_global 20 16 246618096 123309048 123309048 1124 1124
ipm_global 20 17 10315472 5157736 5157736 498 498
ipm_global 20 18 10114160 5057080 5057080 498 498
ipm_global 20 19 3250987880 2952637344 298350536 35470 31108
ipm_global 20 20 11002816 5501408 5501408 498 498
ipm_global 21 1 1048576 524288 524288 64 64
ipm_global 21 2 5046272 5046272 0 121 0
ipm_global 21 5 103023520 51511760 51511760 626 626
ipm_global 21 13 668554900 633382948 35171952 34972 2049
ipm_global 21 16 9632288 4816144 4816144 498 498
ipm_global 21 17 251284672 125642336 125642336 1124 1124
ipm_global 21 18 9596112 4798056 4798056 498 498
ipm_global 21 19 9632288 4816144 4816144 498 498
ipm_global 21 20 3832772276 3243518652 589253624 36096 31734
ipm_global 21 21 9894368 4947184 4947184 498 498
ipm_global 22 2 6094848 5570560 524288 185 64
ipm_global 22 6 99252672 49626336 49626336 626 626
ipm_global 22 14 669726356 633382948 36343408 34972 2093
ipm_global 22 16 9462992 4731496 4731496 498 498
ipm_global 22 17 9591952 4795976 4795976 498 498
ipm_global 22 18 241734336 120867168 120867168 1124 1124
ipm_global 22 19 9462992 4731496 4731496 498 498
ipm_global 22 20 10470448 5235224 5235224 1102 1102
ipm_global 22 21 3826536452 3239950180 586586272 35968 31617
ipm_global 22 22 9555776 4777888 4777888 498 498
ipm_global 23 2 5046272 5046272 0 121 0
ipm_global 23 3 1048576 524288 524288 64 64
ipm_global 23 7 100627360 50313680 50313680 626 626
ipm_global 23 15 670627476 633382948 37244528 34972 2104
ipm_global 23 16 3008157216 55703824 2952453392 1120 35470
ipm_global 23 17 9628128 4814064 4814064 498 498
ipm_global 23 18 9462992 4731496 4731496 498 498
ipm_global 23 19 245930752 122965376 122965376 1124 1124
ipm_global 23 20 591632240 295816120 295816120 996 996
ipm_global 23 21 22360768 11180384 11180384 1102 1102
ipm_global 23 22 3828886012 3241351516 587534496 36118 31756
ipm_global 23 23 9628128 4814064 4814064 498 498
ipm_global 24 3 90382336 45596672 44785664 1012 1012
ipm_global 24 4 1048576 524288 524288 64 64
ipm_global 24 8 96931392 48465696 48465696 626 626
ipm_global 24 16 673430436 638163628 35266808 36074 2975
ipm_global 24 17 9462992 4731496 4731496 498 498
ipm_global 24 18 9297856 4648928 4648928 498 498
ipm_global 24 19 9334032 4667016 4667016 498 498
ipm_global 24 20 244256384 122128192 122128192 996 996
ipm_global 24 21 9596112 4798056 4798056 498 498
ipm_global 24 22 9426816 4713408 4713408 498 498
